Unnamed: 0;n_ships;own_mmsi;obst_mmsi;own_name;obst_name;own_callsign;obst_callsign;own_length;obst_length;own_width;obst_width;own_type;obst_type;own_nav_status;obst_nav_status;own_speed;obst_speed;multi_man_own;maneuver_made_own;maneuver_index_own;maneuver_stop_idx_own;r_maneuver_own;pre_man_dist_own;pre_man_t_cpa_own;post_man_dist_own;post_man_t_cpa_own;delta_speed_own;delta_course_own;multi_man_obst;maneuver_made_obst;maneuver_index_obst;maneuver_stop_idx_obst;r_maneuver_obst;pre_man_dist_obst;pre_man_t_cpa_obst;post_man_dist_obst;post_man_t_cpa_obst;delta_speed_obst;delta_course_obst;alpha_start;beta_start;r_cpa;alpha_cpa;beta_cpa;lon_maneuver;lat_maneuver;COLREG;single_COLREG_type;time;date_cpa;cpa_idx;start_idx;stop_idx;case;dataset;COLREGS_not_filt;COLREGS_filt;img_name;img_class
29054;10;258242000;258558000;FJORDKATT;ROSLAGEN;JWLV;JWNZ;27.0;55.0;;;;;0.0;0.0;14.259756944444446;5.144444444444445;True;True;11;8;3652.0270877965854;1550.8;15.0;4042.4;0.0;0.0;0.0;True;True;15;19;1111.141597637312;494.1;16.0;2344.4;0.0;-0.042621935838373;-3.05034638237951;148.83919238200818;332.8391923820081;734.6784670861131;100.56442135825596;289.0644213582559;5.250073;60.508886;-2.0;True;00:06:00;2019-08-07 06:04:00;16;10;16;HNJZT;encs_west;2;2.0;./img/258242000-258558000-HNJZT_-2.0.png;False
29058;10;258242000;258558000;FJORDKATT;ROSLAGEN;JWLV;JWNZ;27.0;55.0;;;;;0.0;0.0;14.259756944444446;5.144444444444445;True;True;9;13;1684.5279279370816;366.1;11.0;1769.8;0.0;-0.1836265682743949;8.380572509247278;True;True;10;14;1111.141597637312;494.1;11.0;2344.4;0.0;-0.042621935838373;-3.05034638237951;148.83919238200818;332.8391923820081;734.6784670861131;100.56442135825596;289.0644213582559;5.248553;60.483467;-2.0;True;00:06:00;2019-08-07 06:04:00;11;5;11;2UAPV;encs_west;1;1.0;./img/258242000-258558000-2UAPV_-2.0.png;True
29066;57;258020500;376128000;;FFS ATLAS;;J8B4709;14.54;30.66;;;;;0.0;0.0;12.548239850427349;3.98478031517094;True;False;7;7;3325.732137439815;;;;;0.0;0.0;True;True;13;18;435.431383802312;1381.9;0.0;3128.6;0.0;0.2720544979501067;6.876371289677815;-170.1983768807455;14.500841869254518;299.7805363928693;-96.61277942558188;133.7934705744181;5.19178;60.3329;-2.0;True;00:13:00;2019-08-07 07:39:00;14;1;14;JC9OD;encs_west;3;2.0;;
29076;53;236052000;258452000;236052000;FEDJEFJORD;;LLPA;0.0;64.0;0.0;;0.0;;0.0;0.0;6.023080929487179;5.180616319444444;False;False;7;7;4464.887844056113;;;;;0.0;0.0;False;False;7;7;4464.887844056113;;;;;0.0;0.0;113.14449358798376;4.581993587983737;3810.841925349309;144.37850347855;49.378503478549966;4.72225;60.8197;-2.0;True;00:13:00;2019-08-07 10:20:00;14;1;14;JWSLE;encs_west;1;1.0;;
29077;53;236112432;257282000;236112432;FAR SAPPHIRE;;LNXW;0.0;93.0;0.0;;0.0;;0.0;0.0;12.611927083333333;4.424451884920635;False;False;10;10;2311.8661423187923;;;;;0.0;0.0;False;True;8;19;3357.070657582301;3568.8;0.0;2238.4;0.0;2.444306253994035;-35.412026560492805;124.00364844628903;349.12864844628905;429.1452551293101;93.1728613082876;274.6728613082876;5.247026;60.403653;-2.0;True;00:07:00;2019-08-07 10:21:00;15;7;14;JWSLE;encs_west;2;2.0;;
29078;53;236112432;267210161;236112432;267210161;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.562090277777775;2.479782986111112;False;False;8;8;1348.8854362028053;;;;;0.0;0.0;False;False;8;8;1348.8854362028053;;;;;0.0;0.0;-124.0218631176384;2.7281368823616337;166.857304305203;-136.4030989242241;44.59690107577588;5.271597;60.409713;-2.0;True;00:05:00;2019-08-07 10:16:00;10;6;11;JWSLE;encs_west;2;2.0;;
29091;61;257055930;258152970;HUFTAROY;;LEWQ;;134.0;;;;;;0.0;0.0;8.031495949074074;3.14405044367284;False;False;11;11;2023.6547259846527;;;;;0.0;0.0;False;False;11;11;2023.6547259846527;;;;;0.0;0.0;140.4521152371188;352.4989902371188;396.2078747324425;94.94818449298718;281.4481844929872;5.335451;59.986414;-2.0;True;00:09:00;2019-08-07 11:18:00;16;7;16;IZW1M;encs_west;2;2.0;;
29092;61;257055990;211456820;FLATOY;211456820;LEVN;;134.0;0.0;;0.0;;0.0;0.0;0.0;8.76967013888889;2.726555555555556;False;False;6;6;3838.636592593779;;;;;0.0;0.0;False;False;6;6;3838.636592593779;;;;;0.0;0.0;-163.96413321601045;356.28586678398955;2257.56744306787;147.4777423219427;286.72774232194274;5.32631;60.038833;-2.0;True;00:10:00;2019-08-07 11:15:00;13;1;11;IZW1M;encs_west;2;2.0;;
29094;61;257149120;257792770;NERA;;LK3243;;18.15;;;;;;0.0;0.0;4.029479890046297;1.6292415364583333;False;False;4;4;2591.7890056869983;;;;;0.0;0.0;False;True;2;5;2790.9331521912163;2826.1;0.0;2512.7;0.0;0.3291228932800976;3.2235892591395103;-163.81223211925374;334.17214288074626;2284.875160703533;49.89285708017985;257.3928570801798;5.244838;59.586347;-2.0;True;00:06:00;2019-08-07 11:17:00;15;1;7;IZW1M;encs_west;2;2.0;;
29097;61;257762600;257036840;;HORGEFJORD;;LEWF;;116.0;;;;;0.0;0.0;9.1153125;7.057534722222222;False;False;5;5;4327.317165403992;;;;;0.0;0.0;False;True;4;10;4633.158172348532;4754.3;0.0;2760.0;0.0;-3.3002932835209378;29.773396873780563;117.96501546770196;353.980640467702;2389.24975044468;131.44408548932043;116.44408548932044;5.224249;60.192025;-2.0;True;00:06:00;2019-08-07 11:14:00;12;2;8;IZW1M;encs_west;2;2.0;;
