Unnamed: 0;n_ships;own_mmsi;obst_mmsi;own_name;obst_name;own_callsign;obst_callsign;own_length;obst_length;own_width;obst_width;own_type;obst_type;own_nav_status;obst_nav_status;own_speed;obst_speed;multi_man_own;maneuver_made_own;maneuver_index_own;maneuver_stop_idx_own;r_maneuver_own;pre_man_dist_own;pre_man_t_cpa_own;post_man_dist_own;post_man_t_cpa_own;delta_speed_own;delta_course_own;multi_man_obst;maneuver_made_obst;maneuver_index_obst;maneuver_stop_idx_obst;r_maneuver_obst;pre_man_dist_obst;pre_man_t_cpa_obst;post_man_dist_obst;post_man_t_cpa_obst;delta_speed_obst;delta_course_obst;alpha_start;beta_start;r_cpa;alpha_cpa;beta_cpa;lon_maneuver;lat_maneuver;COLREG;single_COLREG_type;time;date_cpa;cpa_idx;start_idx;stop_idx;case;dataset;COLREGS_not_filt;COLREGS_filt;img_name;img_class
924;11;257011900;257293800;HELGOEY TIND;;3YHT;;25.0;19.2;;;;;0.0;0.0;9.714445064484128;9.928318452380951;True;False;20;20;3620.011350810934;;;;;0.0;0.0;True;False;20;20;3620.011350810934;;;;;0.0;0.0;49.70766454317713;252.89516454317712;1683.8019628210418;-5.68399972922791;193.3003752707721;8.917707;63.926;-1.0;True;00:07:00;2019-04-12 19:27:00;39;17;24;83IXY;encs_north;1;1.0;;
929;6;257011900;257293800;HELGOEY TIND;;3YHT;;25.0;19.2;;;;;0.0;0.0;9.714445064484128;9.928318452380951;True;False;13;13;3619.937299180746;;;;;0.0;0.0;True;False;13;13;3619.937299180746;;;;;0.0;0.0;49.71013008450685;252.89763008450683;1683.0310306111412;-5.628639435323175;193.3557355646768;8.917707;63.926;-1.0;True;00:07:00;2019-04-12 19:27:00;32;10;17;KH80F;encs_north;1;1.0;;
935;16;257056340;257563500;;SORBOEN;;JWQY;12.65;29.9;;;;;0.0;0.0;3.890486111111112;4.372777777777778;False;True;2;5;7648.648638811956;7338.7;16.0;5563.5;30.0;0.0110250850094641;5.057546885366892;False;False;5;5;6253.396613841152;;;;;0.0;0.0;15.543905779683156;343.04390577968314;1246.8878899083104;-87.22142604061911;67.77857395938088;7.637286;63.19414;-1.0;True;00:08:00;2019-04-13 07:58:00;21;1;9;7E5OG;encs_north;1;1.0;./img/257056340-257563500-7E5OG_-1.0.png;False
940;16;257860800;257684700;FOSNA FIGHTER;TYRHAUG;LG9011;LGJU;15.0;41.0;;;;;0.0;0.0;5.412116319444445;3.878428819444444;False;True;2;9;3736.928408465969;3435.5;4.0;1350.0;0.0;-1.4975499249433897;-31.03805225134364;False;True;2;7;3736.928408465969;3435.5;4.0;1832.2;0.0;-4.113040068362251;-84.46162095349077;19.897450938172312;333.4287009381724;234.67929180053216;92.23945235156631;141.4894523515663;7.69364;63.091225;-1.0;True;00:05:00;2019-04-13 07:53:00;16;1;6;7E5OG;encs_north;2;2.0;./img/257860800-257684700-7E5OG_-1.0.png;False
942;6;259393000;209078000;PIONEER KNUTSEN;FRIGG W;LMIK;5BTV4;69.0;138.0;;;;;0.0;0.0;6.659461410984849;6.278925978535354;True;False;15;15;6910.274918554253;;;;;0.0;0.0;True;False;15;15;6910.274918554253;;;;;0.0;0.0;35.23103182188884;286.13728182188885;573.1610942832745;139.24206269922036;120.8670626992204;7.588885;63.12095;-1.0;True;00:22:00;2019-04-13 12:28:00;27;4;26;46N5K;encs_north;1;1.0;;
954;9;258375000;257306400;RO CHIEF;FROYAFERGA;LLVU;LDAO;53.3;36.76;;;;;0.0;0.0;5.359868055555556;4.598249131944444;False;False;40;40;6158.948518213154;;;;;0.0;0.0;False;True;40;49;6158.948518213154;1555.6;52.0;1344.0;0.0;0.641071636708634;40.900538104513736;101.08713603323298;327.399636033233;1254.5200078117537;118.15910321720332;46.40910321720332;8.552463;63.786957;-1.0;True;00:05:00;2019-04-14 12:20:00;50;38;43;EEFWS;encs_north;1;1.0;;
963;67;257306400;257346600;FROYAFERGA;;LDAO;;36.76;;;;;;0.0;0.0;5.067411747685185;7.691212384259259;False;True;7;13;5640.595438426682;4772.9;11.0;909.1;14.0;0.3447391113169633;-78.59518252860308;False;False;7;7;5640.595438426682;;;;;0.0;0.0;13.171701826240149;293.2967018262402;363.94654827322097;175.95498621353985;144.32998621353985;8.65527;63.8036;-1.0;True;00:06:00;2019-04-14 14:56:00;16;4;10;5W2UO;encs_north;1;1.0;./img/257306400-257346600-5W2UO_-1.0.png;False
974;5;259458000;258021920;RANA FRAKT;258021920;LIXX;;58.05;0.0;;0.0;;0.0;0.0;0.0;4.526173321759259;4.689616608796296;False;False;6;6;4279.962094458315;;;;;0.0;0.0;False;True;4;10;4825.343433373421;3246.4;13.0;2826.0;14.0;0.3512090228846358;6.841933703982947;25.55258183731078;274.5525818373108;2585.521572139751;-45.11843761532619;213.75656238467383;7.67003;63.149409;-1.0;True;00:06:00;2019-04-14 19:29:00;16;3;9;OCBDE;encs_north;1;1.0;;
977;17;257333000;257052230;TERNINGEN;LOS133;LGJQ;LFQM;41.0;18.0;;;;;0.0;0.0;4.371973958333333;2.7163068576388887;False;False;7;7;1799.7925130414312;;;;;0.0;0.0;False;True;6;15;2052.140565360962;138.0;11.0;1555.5;0.0;2.345495432777469;5.788039942061522;16.654638344110985;334.842138344111;77.82608817100028;-124.58451285985971;193.7904871401403;7.77072;63.1215;-1.0;True;00:05:00;2021-04-14 05:41:00;13;5;10;RHA26;encs_north;1;2.0;;
1001;6;250000818;257075000;ARKLOW FAITH;GAASOE JARL;EIXM;LDZR;90.0;85.0;;;;;0.0;0.0;5.671470410628019;5.216089221014493;True;False;12;12;6992.196427446816;;;;;0.0;0.0;True;True;22;29;2089.9973229647926;620.1;24.0;2493.1;0.0;-0.5376339765768678;74.52789055195885;42.6475523635883;305.64755236358826;471.5304550079469;68.98835266725855;49.30085266725857;9.66756;63.6509;-1.0;True;00:23:00;2019-04-21 18:55:00;25;1;24;4OHO7;encs_north;1;1.0;;
