Unnamed: 0;n_ships;own_mmsi;obst_mmsi;own_name;obst_name;own_callsign;obst_callsign;own_length;obst_length;own_width;obst_width;own_type;obst_type;own_nav_status;obst_nav_status;own_speed;obst_speed;multi_man_own;maneuver_made_own;maneuver_index_own;maneuver_stop_idx_own;r_maneuver_own;pre_man_dist_own;pre_man_t_cpa_own;post_man_dist_own;post_man_t_cpa_own;delta_speed_own;delta_course_own;multi_man_obst;maneuver_made_obst;maneuver_index_obst;maneuver_stop_idx_obst;r_maneuver_obst;pre_man_dist_obst;pre_man_t_cpa_obst;post_man_dist_obst;post_man_t_cpa_obst;delta_speed_obst;delta_course_obst;alpha_start;beta_start;r_cpa;alpha_cpa;beta_cpa;lon_maneuver;lat_maneuver;COLREG;single_COLREG_type;time;date_cpa;cpa_idx;start_idx;stop_idx;case;dataset;COLREGS_not_filt;COLREGS_filt;img_name;img_class
14125;11;236691000;231843000;236691000;231843000;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.248527199074076;4.656645126028807;False;False;14;14;5500.767335563284;;;;;0.0;0.0;False;False;14;14;5500.767335563284;;;;;0.0;0.0;162.60850902570203;346.23350902570206;2363.006570028955;100.7148325586512;275.9648325586512;8.863839;57.305743;-2.0;True;00:27:00;2018-06-09 21:51:00;36;1;28;223P2;encs_south\2018-06\2018-06-09 - 2018-06-16;3;3.0;;
14146;5;231103000;219013538;231103000;CARPE DIEM;;OUPN;0.0;24.0;0.0;7.0;0.0;30.0;0.0;0.0;6.76899703414352;1.3544776294849534;False;False;13;13;8253.10001999249;;;;;0.0;0.0;False;False;13;13;8253.10001999249;;;;;0.0;0.0;139.42751173569818;342.9275117356982;2569.4876726693983;56.28159996538063;266.2815999653806;8.928748;57.852725;-2.0;True;00:24:00;2019-06-09 03:23:00;36;1;25;QMXXM;encs_south\2019-06\2019-06-09 - 2019-06-16;1;1.0;;
14218;19;257437000;257064430;257437000;257064430;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.90252273478836;5.411618716931217;False;False;23;23;4484.269387536841;;;;;0.0;0.0;False;False;23;23;4484.269387536841;;;;;0.0;0.0;175.36278451370987;355.6127845137098;3499.891794041638;135.8764791032574;310.12647910325745;8.04334;57.9125;-2.0;True;00:42:00;2019-06-09 17:52:00;93;2;44;PNR23;encs_south\2019-06\2019-06-09 - 2019-06-16;1;4.0;;
14219;19;257437000;257064430;257437000;257064430;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.883958333333334;5.408700086805556;False;False;49;49;4062.659494715256;;;;;0.0;0.0;False;False;49;49;4062.659494715256;;;;;0.0;0.0;163.25617270102336;337.00617270102333;3499.891794041638;135.8764791032574;310.12647910325745;7.89008;57.9153;-2.0;True;00:08:00;2019-06-09 17:52:00;93;45;53;PNR23;encs_south\2019-06\2019-06-09 - 2019-06-16;1;3.0;;
14220;19;257437000;257064430;257437000;257064430;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.861566220238093;5.341609871031746;False;False;71;71;3657.0696930739487;;;;;0.0;0.0;False;False;71;71;3657.0696930739487;;;;;0.0;0.0;157.88493410711857;334.63493410711857;3499.891794041638;135.8764791032574;310.12647910325745;7.759311;57.9177;-2.0;True;00:35:00;2019-06-09 17:52:00;93;54;89;PNR23;encs_south\2019-06\2019-06-09 - 2019-06-16;2;2.0;;
14224;9;244140388;257056010;IRELAND;257056010;PDIH;;110.0;0.0;14.0;0.0;70.0;0.0;0.0;0.0;6.593496455439816;4.461951497395834;False;False;25;25;3709.352854609549;;;;;0.0;0.0;False;False;25;25;3709.352854609549;;;;;0.0;0.0;175.27605972611187;357.27605972611184;646.56193052174;-104.08166948685208;76.35583051314792;7.439907;57.9375;-2.0;True;00:48:00;2019-06-09 18:04:00;53;1;49;3N07N;encs_south\2019-06\2019-06-09 - 2019-06-16;5;5.0;;
14244;14;244140388;258657000;IRELAND;258657000;PDIH;;110.0;0.0;14.0;0.0;70.0;0.0;0.0;0.0;6.799307725694447;4.809854600694444;False;False;23;23;5652.757097204869;;;;;0.0;0.0;False;False;23;23;5652.757097204869;;;;;0.0;0.0;-178.17212213019928;357.8903778698007;3526.786290661797;145.24477762373618;303.7447776237362;7.897152;57.995625;-2.0;True;00:44:00;2019-06-09 19:11:00;48;1;45;SXZWK;encs_south\2019-06\2019-06-09 - 2019-06-16;5;6.0;;
14271;9;210263000;241289000;210263000;241289000;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.104338831018519;5.297170138888888;False;True;3;8;3807.796949681009;1764.3;25.0;1608.5;44.0;-0.1631169927622293;14.278541760726274;False;False;4;4;3677.900542429063;;;;;0.0;0.0;124.5662447924708;327.81624479247085;1852.7965484639697;101.816030969138;278.691030969138;9.511579;57.7213;-2.0;True;00:06:00;2019-06-09 22:40:00;43;1;7;ZLUZI;encs_south\2019-06\2019-06-09 - 2019-06-16;1;1.0;./img/210263000-241289000-ZLUZI_-2.0.png;True
14290;10;220141000;259132000;220141000;259132000;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.837154224537037;5.440183015046297;False;False;7;7;5089.595415158258;;;;;0.0;0.0;False;False;7;7;5089.595415158258;;;;;0.0;0.0;145.5143608552331;322.76436085523306;2978.0256983444583;97.16496093024703;274.91496093024705;8.024574;57.884842;-2.0;True;00:12:00;2019-06-10 00:32:00;56;1;13;XMWXM;encs_south\2019-06\2019-06-09 - 2019-06-16;1;3.0;;
14300;36;212521000;261148000;212521000;261148000;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.064027110042734;3.0231340144230767;False;True;10;16;3179.759817973681;850.7;21.0;1982.9;19.0;-0.3275046287553271;-16.807499660558406;False;True;2;6;5297.403006190865;1107.4;21.0;774.7;20.0;-0.2382779836092279;-8.109268860753003;-156.22394516465772;17.776054835342286;2021.674103311408;-96.82677863033872;87.42322136966126;10.710683;57.77575;-2.0;True;00:13:00;2018-06-10 02:00:00;19;1;14;BCVYG;encs_south\2018-06\2018-06-09 - 2018-06-16;1;2.0;./img/212521000-261148000-BCVYG_-2.0.png;True
