own_mmsi;obst_mmsi;own_speed;obst_speed;r_maneuver_own;r_maneuver_obst;r_cpa;COLREG;pre_man_t_cpa_own
259299000;258166000;17.769577132936508;4.758611111111111;6004.396503396484;6004.396503396484;751.1072160484106;-2.0;0.0
219347000;257062170;11.419594907407408;7.0307407407407405;2280.7107006369715;1657.6749892545329;1069.8754506950836;-2.0;0.0
259299000;258166000;17.769577132936508;4.758611111111111;6004.247598159165;6004.247598159165;750.7125481833917;-2.0;0.0
257144700;258271000;7.196924321338385;1.4825844504616474;3616.226382570646;641.1748123561977;61.35601030054087;-2.0;9.0
258999000;257492000;17.000111400462963;6.16496021412037;3879.232339007294;4543.856494212818;522.9869023216489;-2.0;12.0
257175000;258166000;15.69859375;4.592679811507937;518.4949083645796;3871.1688829086456;195.1028959293004;-2.0;0.0
259479000;257067970;17.56077546296296;4.582105758101852;5532.655706801213;4941.060134222209;932.0223602468016;-2.0;11.0
259479000;258189000;17.432164351851856;4.732486979166667;8406.693288088964;9557.188707983116;3015.7499929536566;-2.0;11.0
259479000;258189000;17.689386574074074;4.791433738425925;4941.41644166933;4941.41644166933;3015.7499929536566;-2.0;0.0
259479000;257067970;17.56077546296296;4.582105758101852;5537.656372509942;4945.391483998007;932.4513284885109;-2.0;10.0
259479000;258189000;17.432164351851856;4.732486979166667;8414.122253093303;9565.78476237052;3018.217634631403;-2.0;10.0
259479000;258189000;17.689386574074074;4.791433738425925;4945.534885126184;4945.534885126184;3018.217634631403;-2.0;0.0
258161000;257085210;6.165295138888888;1.9845727926587304;3342.476327515272;3342.476327515272;2142.907039514316;-2.0;0.0
219347000;257372000;11.44076215277778;6.477578993055556;952.3165125104156;1863.4438252869336;491.1061901462868;-2.0;11.0
257372000;258340000;6.23549537037037;5.3598680555555545;536.739135893777;536.739135893777;207.38141189605315;-2.0;0.0
257372000;258340000;6.180797371031746;5.319562251984128;445.4544196660244;368.12977331369706;207.8130169166728;-2.0;3.0
258901000;258394000;5.276321072048612;4.012817382812501;1551.6788488601628;1038.5699494978658;505.7975286614207;-2.0;20.0
249075000;257294500;5.118822699652777;3.543085394965278;1490.2680564247478;1589.565151228473;1232.1051903145285;-2.0;18.0
257299000;257294500;10.622473958333332;3.5408246527777787;2223.7137270790945;2223.7137270790945;1222.9345403577422;-2.0;0.0
258352500;259367000;17.62431547619048;4.798227926587302;2842.373291810911;2094.466340144906;210.48097301181343;-2.0;16.0
258352500;259367000;17.62431547619048;4.798227926587302;2849.3530300754137;2097.576148796508;212.71224694408104;-2.0;16.0
258352500;259367000;17.62431547619048;4.798227926587302;2837.255245831788;2092.180723551386;208.81745616686305;-2.0;9.0
257056190;230994000;9.091197916666667;7.07016617063492;797.8077086616803;590.9950338200821;433.4481514552801;-2.0;0.0
257382000;257055860;6.269791666666666;1.2220096503363715;731.8951086050538;1111.00716919379;86.40092592096948;-2.0;14.0
258999000;229061000;16.616555555555557;7.439348958333333;2484.111160958784;1954.008436522221;655.7846597778932;-2.0;16.0
259998000;257061910;4.814074652777777;3.436328125;2201.808858643276;2328.427419955367;2112.7168196424213;-2.0;0.0
257382000;257055860;6.269791666666666;1.2220096503363715;736.2090192329807;1116.3213560619513;88.36068130112652;-2.0;8.0
258999000;229061000;16.61048225308642;7.402730516975309;1413.5541765351568;3040.102896284933;686.7542937615958;-2.0;12.0
258999000;257061910;16.64870833333334;3.991767361111111;2745.8785297241334;2745.8785297241334;1118.6130072549654;-2.0;0.0
258999000;259998000;16.62620138888889;4.7939791666666665;2087.834907266381;1367.617991253429;141.00656013108673;-2.0;0.0
258999000;229061000;16.616555555555557;7.439348958333333;1399.5595199919148;1952.8753467643544;650.4775169058496;-2.0;5.0
257065290;257994180;12.26929904513889;2.488323567708333;620.4292143347216;3340.493108808938;68.58950357015341;-2.0;0.0
258108500;257071070;11.738979166666669;3.271545138888889;2401.6944539220613;2401.6944539220613;248.7471406870848;-2.0;0.0
259299000;210055000;15.563730709876545;6.528353587962964;2571.39800497706;4510.152308958089;1013.6332374187446;-2.0;10.0
308874000;259936000;2.899413273358586;1.216050939078283;3785.3329747857015;3785.3329747857015;3354.4097319796847;-2.0;0.0
209762000;258356000;8.657135416666666;3.2408995225694444;2479.25289149776;2479.25289149776;1976.1065684825803;-2.0;10.0
258296000;257010550;8.835124007936505;3.4687679811507937;5910.010829093294;5910.010829093294;4461.274218202705;-2.0;0.0
236342000;241454000;5.248940972222222;2.1914127604166667;1921.716966673292;1792.1314823416278;1065.134367110555;-2.0;9.0
236342000;257107000;5.248940972222222;2.2294267216435184;1972.6247818579184;1972.6247818579184;1054.2192608750788;-2.0;5.0
236342000;258312000;5.248940972222222;2.129719618055556;1929.710561198233;1533.7769329338614;1000.732231918206;-2.0;8.0
236342000;259514000;5.248940972222222;2.1096911168981483;2050.348116784075;1786.5077105906946;1049.8582428118525;-2.0;9.0
236342000;241454000;5.248940972222222;2.1914127604166667;1921.716966673292;1792.1314823416278;1065.134367110555;-2.0;9.0
236342000;257107000;5.248940972222222;2.2294267216435184;1972.6247818579184;1972.6247818579184;1054.2192608750788;-2.0;5.0
236342000;258312000;5.248940972222222;2.129719618055556;1929.710561198233;1533.7769329338614;1000.732231918206;-2.0;8.0
236342000;259514000;5.248940972222222;2.1096911168981483;2050.348116784075;1786.5077105906946;1049.8582428118525;-2.0;9.0
258242000;259074000;12.438302083333337;3.868782986111112;5570.327209419561;4871.752765689171;4326.460175478343;-2.0;0.0
257684000;259366000;5.468164457070707;1.1835327888257576;3142.478986405489;2145.979806521942;613.8705075176686;-2.0;12.0
258729000;205767000;6.224911747685186;3.9866095196759264;4946.442863310974;4808.676163976943;4646.929490534587;-2.0;0.0
259402000;257560700;7.644322916666669;4.444317708333334;2697.064722990541;2490.093044446337;2085.8558435328214;-2.0;0.0
304619000;257002270;7.618746843434343;4.920471117424243;1325.0265242628163;1325.0265242628163;328.1798439880186;-2.0;0.0
259402000;257560700;7.644322916666669;4.444317708333334;2697.064722990541;2490.230015480508;2085.990953959294;-2.0;0.0
304619000;257002270;7.671563464506174;4.910443672839506;1640.322617657883;1173.5584348467753;328.08002072665136;-2.0;10.0
257347000;257070600;5.556401909722222;5.015833333333333;2377.1177442440767;2377.1177442440767;2298.480500243588;-2.0;0.0
257106000;257282000;5.411166351010102;4.799167455808081;4848.948538600923;4848.948538600923;4170.609932611767;-2.0;0.0
255805908;375219000;8.506132192460319;4.83870597718254;2588.7568387162223;1703.3385394571408;353.84681713984725;-2.0;13.0
255805908;375219000;8.555318287037037;4.861098090277778;834.8729843515137;834.8729843515137;353.078603146666;-2.0;0.0
257055930;257152000;8.234556051587303;4.541866939484128;2792.324954227217;2792.324954227217;1531.1720249534242;-2.0;0.0
257055990;257072700;8.333374807098766;3.8179190779320975;614.8157610211149;1551.8047074294025;398.1269144380975;-2.0;10.0
258998000;257060130;12.09815248842593;3.566948784722222;2956.204661385962;2956.204661385962;143.32871310382856;-2.0;0.0
259074000;257597000;5.189458333333333;4.328299768518518;2225.0798187930245;2225.0798187930245;1938.8868404319023;-2.0;0.0
259074000;257597000;5.191065972222222;4.198348958333332;2095.039543779544;2095.039543779544;1937.338702963424;-2.0;0.0
257055660;257749600;11.771131944444445;4.517063368055556;1721.8254150755242;2177.025383407372;384.03775856027454;-2.0;0.0
257055660;257749600;11.771131944444445;4.517063368055556;1692.5856669604634;2145.966155371514;377.4997350992453;-2.0;0.0
257099900;257029700;9.733360339506172;6.270684799382717;3711.360464843048;3118.3426687905867;2578.2779698861027;-2.0;0.0
257199640;257313940;3.780965711805556;3.1978616898148147;1163.8502180263526;1163.8502180263526;1076.0947541921937;-2.0;0.0
