mmsi,x,y,time,colreg_compliant,good_seamanship,unmodeled_behaviour,CR_PS,CR_SS,HO,OT_en,OT_ing,priority_lower,priority_similar,priority_higher
257787000,7657.39,3828.75,2100,0.980503,0.99005,1.68808e-05,1,0,0,0,0,0.0513613,0.89792,0.0507185
248375000,9602,1847.09,2160,0.979944,0.99011,9.58373e-06,0,1,0,0,0,0.0528149,0.947185,0
257787000,7283.55,3939.9,2160,0.980947,0.98995,0,1,0,0,0,0,0.0476614,0.900889,0.0514499
248375000,9330.37,1695.3,2220,0.979974,0.98981,7.95461e-06,0,1,0,0,0,0.0522396,0.94776,0
257787000,6917.61,4043.43,2220,0.980524,0.99048,0,1,0,0,0,0,0.0490597,0.900745,0.0501957
248375000,9066.79,1550.37,2280,0.980032,0.99024,9.78149e-06,0,1,0,0,0,0.0532911,0.946709,0
257787000,6544.89,4152.48,2280,0.980129,0.98962,8.47381e-06,1,0,0,0,0,0.0519842,0.898701,0.0493144
248375000,8784.03,1408.01,2340,0.980101,0.9902,8.40773e-06,0,1,0,0,0,0.0531201,0.94688,0
257787000,6182.21,4264.44,2340,0.980089,0.99027,1.69989e-05,1,0,0,0,0,0.0488449,0.90187,0.0492848
248375000,8520.46,1268.96,2400,0.980497,0.99038,1.03048e-05,0,1,0,0,0,0.0512754,0.948725,0
257787000,5809.49,4373.64,2400,0.980821,0.9902,3.38e-05,1,0,0,0,0,0.045894,0.903844,0.0502621
248375000,8237.72,1125.6,2460,0.979486,0.98989,8.321e-06,0,1,0,0,0,0.0540751,0.945925,0
257787000,5438.78,4477.28,2460,0.979885,0.98972,0,1,0,0,0,0,0.0489656,0.900815,0.0502198
248375000,7974.39,987.104,2520,0.980021,0.99038,1.05948e-05,0,1,0,0,0,0.0519719,0.948028,0
257787000,5066.18,4584.74,2520,0.979236,0.99079,8.48212e-06,1,0,0,0,0,0.0510159,0.899106,0.0498779
248375000,7702.58,841.104,2580,0.980127,0.99013,9.30361e-06,0,1,0,0,0,0.0525996,0.9474,0
257787000,4700.27,4689.11,2580,0.97998,0.99025,1.69554e-05,1,0,0,0,0,0.051546,0.898665,0.0497894
248375000,7428.56,706.997,2640,0.980155,0.989954,9.669e-06,0,1,0,0,0,0.0521838,0.947816,0
257787000,4319.42,4791.69,2640,0.980562,0.98991,2.51163e-05,1,0,0,0,0,0.0504952,0.899169,0.0503355
248375000,7160.78,570.173,2700,0.980027,0.98992,8.90091e-06,0,1,0,0,0,0.0524479,0.947552,0
257787000,3934.56,4896.35,2700,0.980739,0.98977,0,1,0,0,0,0,0.0490343,0.901273,0.0496924
248375000,6877.63,438.365,2760,0.979989,0.989662,1.28938e-05,0,1,0,0,0,0.0522481,0.947752,0
257787000,3568.87,4993.75,2760,0.980327,0.98987,0,1,0,0,0,0,0.0466416,0.903588,0.0497705
248375000,6613.1,307.579,2820,0.979744,0.98984,8.25467e-06,0,1,0,0,0,0.0529244,0.947076,0
257787000,3189.82,5095.45,2820,0.979127,0.99043,0,1,0,0,0,0,0.0478128,0.902065,0.050122
248375000,6342.56,168.592,2880,0.97977,0.98998,1.05923e-05,0,1,0,0,0,0.0528969,0.947103,0
257787000,2813.21,5192.03,2880,0.981063,0.99026,8.35512e-06,1,0,0,0,0,0.0495329,0.901202,0.0492648
248375000,6088.96,30.0297,2940,0.979862,0.98959,1.20504e-05,0,1,0,0,0,0.0536639,0.946336,0
257787000,2440.5,5284.82,2940,0.979698,0.99017,8.33156e-06,1,0,0,0,0,0.0485085,0.901696,0.0497954
